Assembly,original,corrected,RefSeq.Accession.version,GenBank.Accession.version,NCBI.name
Fundulus_heteroclitus-3.0.2,Scaffold220,Scaffold220,NW_012224621.1,KN805745.1,GPS_009135943.1
Fundulus_heteroclitus-3.0.2,Scaffold221,Scaffold221,NW_012224622.1,KN805746.1,GPS_009135944.1
Fundulus_heteroclitus-3.0.2,Scaffold222,Scaffold222,NW_012224623.1,KN805747.1,GPS_009135945.1
Fundulus_heteroclitus-3.0.2,Scaffold223,Scaffold223,NW_012224624.1,KN805748.1,GPS_009135946.1
Fundulus_heteroclitus-3.0.2,Scaffold224,Scaffold224,NW_012224625.1,KN805749.1,GPS_009135947.1
Fundulus_heteroclitus-3.0.2,Scaffold225,Scaffold225,NW_012224626.1,KN805750.1,GPS_009135948.1
Fundulus_heteroclitus-3.0.2,Scaffold226,Scaffold226,NW_012224627.1,KN805751.1,GPS_009135949.1
Fundulus_heteroclitus-3.0.2,Scaffold227,Scaffold227,NW_012224628.1,KN805752.1,GPS_009135950.1
Fundulus_heteroclitus-3.0.2,Scaffold228,Scaffold228,NW_012224629.1,KN805753.1,GPS_009135951.1
Fundulus_heteroclitus-3.0.2,Scaffold229,Scaffold229,NW_012224630.1,KN805754.1,GPS_009135952.1
Fundulus_heteroclitus-3.0.2,Scaffold230,Scaffold230,NW_012224631.1,KN805755.1,GPS_009135953.1
Fundulus_heteroclitus-3.0.2,Scaffold231,Scaffold231,NW_012224632.1,KN805756.1,GPS_009135954.1
